idx,observationId,sourceId,blendId,neighborId,fieldx,fieldy,posx,posy,parallactic,airmass,zenith,seed,chip,intensity,temperature
0,103243,3043144518615574528,0,0,0.021840564906597137,0.019298862665891647,0.22555583715438843,0.1991719752550125,1.6435967683792114,1.1461628675460815,0.5105490684509277,0,R44_SW0,1715892,4479.0
1,103243,3043144449896097024,0,1,0.021837657317519188,0.01936405338346958,0.22552691400051117,0.19984565675258636,1.6435967683792114,1.1461628675460815,0.5105490684509277,0,R44_SW0,779250,4580.0
2,103243,3043144518615572480,0,2,0.02187218703329563,0.019366567954421043,0.2258833348751068,0.19987188279628754,1.6435967683792114,1.1461628675460815,0.5105490684509277,0,R44_SW0,1011289,5191.26708984375
3,103243,3043144445599947648,0,3,0.02185749262571335,0.01937975361943245,0.22573204338550568,0.2000075727701187,1.6435967683792114,1.1461628675460815,0.5105490684509277,0,R44_SW0,314860,8421.9111328125
4,103243,3043144518615571968,0,4,0.02188725396990776,0.01937137544155121,0.22603866457939148,0.19992178678512573,1.6435967683792114,1.1461628675460815,0.5105490684509277,0,R44_SW0,10509314,5375.0
5,103243,3043144449896095872,0,5,0.021839525550603867,0.019412830471992493,0.22554513812065125,0.20034901797771454,1.6435967683792114,1.1461628675460815,0.5105490684509277,0,R44_SW0,1562478,4830.66015625
6,103243,3043144140658456320,0,6,0.021769048646092415,0.01920735090970993,0.22481673955917358,0.1982266902923584,1.6435967683792114,1.1461628675460815,0.5105490684509277,0,R44_SW0,1684101,5380.5
7,103243,3043144067641674752,0,7,0.021723072975873947,0.019292227923870087,0.22434192895889282,0.19910340011119843,1.6435967683792114,1.1461628675460815,0.5105490684509277,0,R44_SW0,409831,8354.7021484375
8,103243,3043094284678600960,1,0,0.01935294270515442,0.021777288988232613,0.1995370090007782,0.22468917071819305,1.6435967683792114,1.1461628675460815,0.5105490684509277,0,R44_SW1,2117853,5769.5
9,103243,3043094284678600576,1,1,0.01935698091983795,0.02183273434638977,0.19957967102527618,0.22526177763938904,1.6435967683792114,1.1461628675460815,0.5105490684509277,0,R44_SW1,1948670,4939.0
10,103243,3043094250318863488,1,2,0.01933821476995945,0.021682292222976685,0.19938433170318604,0.22370806336402893,1.6435967683792114,1.1461628675460815,0.5105490684509277,0,R44_SW1,607820,5675.0302734375
11,103243,3043756877873971712,2,0,0.019514231011271477,-0.02067486383020878,0.20193631947040558,-0.21347743272781372,1.6435967683792114,1.1461628675460815,0.5105490684509277,0,R04_SW0,436058,8783.5234375
12,103243,3043756912233706496,2,1,0.0196340624243021,-0.020706605166196823,0.20317378640174866,-0.21380600333213806,1.6435967683792114,1.1461628675460815,0.5105490684509277,0,R04_SW0,10588700,5351.66650390625
13,103243,3040996279054882816,3,0,-0.019555775448679924,-0.019742803648114204,-0.20193402469158173,-0.2036655992269516,1.6435967683792114,1.1461628675460815,0.5105490684509277,0,R00_SW0,6231016,6803.0
14,103243,3040996279054887808,3,1,-0.019662484526634216,-0.01970556192100048,-0.20303595066070557,-0.20328161120414734,1.6435967683792114,1.1461628675460815,0.5105490684509277,0,R00_SW0,2192098,4908.75
15,103243,3043757530709023872,4,0,0.019619043916463852,-0.02243112027645111,0.20279568433761597,-0.2315097600221634,1.6435967683792114,1.1461628675460815,0.5105490684509277,0,R04_SW0,10304292,5778.33349609375
16,103243,3043757530709023104,4,1,0.019663363695144653,-0.022460702806711197,0.2032541185617447,-0.2318151295185089,1.6435967683792114,1.1461628675460815,0.5105490684509277,0,R04_SW0,531755,9426.638671875
17,103243,3043757492049343360,4,2,0.01954355277121067,-0.02241666056215763,0.20201566815376282,-0.23136013746261597,1.6435967683792114,1.1461628675460815,0.5105490684509277,0,R04_SW0,407253,8676.4521484375
